State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-05,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-06,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-07,2022,01,0.064657734,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-09,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-08,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-11,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-10,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-12,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-13,2022,01,9.70018641,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-16,2022,01,4.856690495,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-14,2022,01,10.05626268,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-15,2022,01,3.93499294,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-17,2022,01,8.669355429,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-18,2022,01,5.778656826,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-19,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-21,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-22,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-20,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-23,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-24,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-25,2022,01,0.182266113,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-26,2022,01,0.649117448,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-28,2022,01,4.275242138,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-29,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-27,2022,01,0.626880873,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-30,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-01,2022,01,0.05480484,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-02,2022,01,0.135938278,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-03,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-04,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-05,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-06,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-07,2022,01,0.324952614,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-08,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-11,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-09,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-10,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-12,2022,01,0.016827684,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-13,2022,01,7.330487802,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-16,2022,01,3.10047871,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-14,2022,01,9.358124165,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-15,2022,01,1.07088997,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-17,2022,01,1.861441329,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-18,2022,01,3.328558681,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-19,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2022-01-20,2022,01,0,IMD GRID MODEL
